"","ID","roi","CS","index"
"178","5","LOC","valued",-0.131210533833062
"179","6","LOC","valued",-0.096886355954188
"180","7","LOC","valued",0.43516010425433
"181","8","LOC","valued",0.442666464547316
"182","9","LOC","valued",-1.53043329417706
"183","10","LOC","valued",-1.70604921181996
"184","11","LOC","valued",-0.002373532012656
"185","12","LOC","valued",0.356258289350404
"186","13","LOC","valued",1.19238923456934
"187","14","LOC","valued",0.439378099733343
"188","15","LOC","valued",-0.422138558935236
"189","16","LOC","valued",0.414930725014872
"190","17","LOC","valued",0.485386893663694
"191","18","LOC","valued",-0.153272895404586
"192","19","LOC","valued",-0.545715187986692
"193","20","LOC","valued",0.277660202372957
"194","21","LOC","valued",-0.577817736828217
"195","22","LOC","valued",0.150409699189995
"196","23","LOC","valued",-0.831661702637319
"197","24","LOC","valued",0.913553218971251
"198","25","LOC","valued",0.0767903005635296
"199","26","LOC","valued",-0.320844210022025
"200","27","LOC","valued",-0.034297782127504
"201","28","LOC","valued",0.456387537469466
"202","29","LOC","valued",0.774524588496596
"203","30","LOC","valued",-0.256781204955445
"204","1","SMG","valued",0.288412583081859
"205","3","SMG","valued",-3.35787467412842
"206","4","SMG","valued",-0.61034518545586
"207","5","SMG","valued",-0.835446783041625
"208","6","SMG","valued",0.242118368777056
"209","7","SMG","valued",0.754556242669775
"210","8","SMG","valued",0.341810198063949
"211","9","SMG","valued",-0.853574671223837
"212","10","SMG","valued",-0.641902226205011
"213","11","SMG","valued",0.348662831308513
"214","12","SMG","valued",0.21410390180011
"215","13","SMG","valued",0.0129289707889549
"216","14","SMG","valued",-0.722937435303391
"217","15","SMG","valued",0.37313648985009
"218","16","SMG","valued",-0.358136529701375
"219","17","SMG","valued",-0.099873363511643
"220","18","SMG","valued",0.567351329658341
"221","19","SMG","valued",-0.859424377695057
"222","20","SMG","valued",0.802071727303651
"223","21","SMG","valued",-0.895458007354966
"224","22","SMG","valued",-0.861830677139452
"225","23","SMG","valued",-0.75769879578396
"226","24","SMG","valued",0.789493388801893
"227","25","SMG","valued",0.96639785607096
"228","26","SMG","valued",0.604794788962291
"229","27","SMG","valued",-0.936050146751803
"230","28","SMG","valued",1.15709299108912
"231","29","SMG","valued",1.34195976356336
"232","30","SMG","valued",0.14692311880249
