ID   run   CS_ID   CS_SIDE   CS_ALL   ratings 
18   02   deval   CSpL   deval_L  50
18   03   val   CSpR   val_R  5.593220e+01
18   03   deval   CSpR   deval_R  8.135593e+01
18   03   val   CSpL   val_L  4.322034e+01
18   03   deval   CSpL   deval_L  4.152542e+01
18   03   CSmi   CSmi   CSmi  50
19   01   val   CSpL   val_L  7.711864e+01
19   01   val   CSpR   val_R  7.881356e+01
19   01   deval   CSpR   deval_R  5.593220e+01
19   01   deval   CSpL   deval_L  5.932203e+01
19   01   CSmi   CSmi   CSmi  1.440678e+01
19   02   deval   CSpL   deval_L  6.525424e+01
19   02   CSmi   CSmi   CSmi  8.474576e+00
19   02   deval   CSpR   deval_R  6.610169e+01
19   02   val   CSpR   val_R  8.305085e+01
19   02   val   CSpL   val_L  8.135593e+01
19   03   deval   CSpR   deval_R  3.813559e+01
19   03   val   CSpR   val_R  7.118644e+01
19   03   deval   CSpL   deval_L  3.305085e+01
19   03   val   CSpL   val_L  6.779661e+01
19   03   CSmi   CSmi   CSmi  1.440678e+01
20   01   deval   CSpL   deval_L  4.915254e+01
20   01   deval   CSpR   deval_R  7.372881e+01
20   01   val   CSpR   val_R  50
20   01   val   CSpL   val_L  8.474576e+00
20   01   CSmi   CSmi   CSmi  2.288136e+01
20   02   val   CSpL   val_L  8.474576e+00
20   02   CSmi   CSmi   CSmi  50
20   02   val   CSpR   val_R  7.203390e+01
20   02   deval   CSpR   deval_R  7.711864e+01
20   02   deval   CSpL   deval_L  8.474576e+00
20   03   val   CSpR   val_R  7.372881e+01
20   03   deval   CSpR   deval_R  8.559322e+01
20   03   val   CSpL   val_L  8.474576e+00
20   03   deval   CSpL   deval_L  8.474576e+00
20   03   CSmi   CSmi   CSmi  1.864407e+01
21   01   deval   CSpL   deval_L  7.033898e+01
21   01   deval   CSpR   deval_R  5.847458e+01
21   01   val   CSpR   val_R  50
21   01   val   CSpL   val_L  7.033898e+01
21   01   CSmi   CSmi   CSmi  6.101695e+01
21   02   val   CSpL   val_L  7.033898e+01
21   02   CSmi   CSmi   CSmi  3.389831e+01
21   02   val   CSpR   val_R  6.355932e+01
21   02   deval   CSpR   deval_R  4.152542e+01
21   02   deval   CSpL   deval_L  6.271186e+01
21   03   val   CSpR   val_R  6.271186e+01
21   03   deval   CSpR   deval_R  6.440678e+01
21   03   val   CSpL   val_L  50
21   03   deval   CSpL   deval_L  4.322034e+01
21   03   CSmi   CSmi   CSmi  6.101695e+01
22   01   val   CSpL   val_L  6.610169e+01
22   01   val   CSpR   val_R  6.016949e+01
22   01   deval   CSpR   deval_R  7.966102e+01
22   01   deval   CSpL   deval_L  9.152542e+01
22   01   CSmi   CSmi   CSmi  2.542373e+01
22   02   val   CSpR   val_R  6.271186e+01
22   02   val   CSpL   val_L  9.152542e+01
22   02   deval   CSpR   deval_R  6.610169e+01
22   02   deval   CSpL   deval_L  8.135593e+01
22   02   CSmi   CSmi   CSmi  8.474576e+00
22   03   CSmi   CSmi   CSmi  3.898305e+01
22   03   val   CSpR   val_R  50
22   03   deval   CSpR   deval_R  9.152542e+01
22   03   deval   CSpL   deval_L  9.152542e+01
22   03   val   CSpL   val_L  50
23   01   val   CSpL   val_L  4.830508e+01
23   01   val   CSpR   val_R  50
23   01   deval   CSpR   deval_R  6.101695e+01
23   01   deval   CSpL   deval_L  7.796610e+01
23   01   CSmi   CSmi   CSmi  6.271186e+01
23   02   deval   CSpL   deval_L  7.457627e+01
23   02   CSmi   CSmi   CSmi  50
23   02   deval   CSpR   deval_R  6.101695e+01
23   02   val   CSpR   val_R  4.152542e+01
23   02   val   CSpL   val_L  3.728814e+01
23   03   deval   CSpR   deval_R  5.508475e+01
23   03   val   CSpR   val_R  4.576271e+01
23   03   deval   CSpL   deval_L  7.118644e+01
23   03   val   CSpL   val_L  4.152542e+01
23   03   CSmi   CSmi   CSmi  50
24   01   deval   CSpL   deval_L  8.474576e+00
24   01   deval   CSpR   deval_R  7.203390e+01
24   01   val   CSpR   val_R  7.118644e+01
24   01   val   CSpL   val_L  50
24   01   CSmi   CSmi   CSmi  7.203390e+01
24   02   val   CSpL   val_L  5.762712e+01
24   02   CSmi   CSmi   CSmi  6.610169e+01
24   02   val   CSpR   val_R  50
24   02   deval   CSpR   deval_R  3.220339e+01
