ID   alpha   eta   MF_VV   MF_RPE   MB_VV   MB_SPE   MB_UNC  pupil   dw   corr_value   corr_error
01   4.568007e-01    4.994376e-01    9.198603e-01    8.013969e-02   5.245221e-01    5.997754e-01   4.754779e-01    1.807019e-01   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    7.284003e-01    2.715997e-01   5.995501e-01    8.998875e-01   4.004499e-01    -3.479537e-02   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    7.284003e-01    2.715997e-01   5.995501e-01    4.004499e-01   4.004499e-01    3.283017e-01   6.481481e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    8.524672e-01    1.475328e-01   7.995499e-01    2.004501e-01   2.004501e-01    3.137424e-01   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    2.364646e-02    9.763535e-01   0    9.937148e-01   2.514091e-02    -1.304498e-01   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    8.524672e-01    1.475328e-01   5.495502e-01    9.498875e-01   4.504498e-01    7.036382e-03   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    9.198603e-01    8.013969e-02   8.996622e-01    1.003378e-01   1.003378e-01    4.097539e-01   5.307263e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    4.696454e-01    -4.696454e-01   0    5.120222e-01   4.974162e-01    -3.275941e-01   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    8.524672e-01    1.475328e-01   7.995499e-01    2.004501e-01   2.004501e-01    -1.438773e-01   8.770950e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    9.564682e-01    -9.564682e-01   9.497747e-01    9.874437e-01   5.022532e-02    -2.553162e-03   8.315217e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    2.551111e-01    -2.551111e-01   0    2.562991e-01   2.562991e-01    -2.014655e-02   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    9.198603e-01    -9.198603e-01   8.996622e-01    9.749156e-01   1.003378e-01    -1.441082e-01   2.328767e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    5.195529e-01    4.804471e-01   5.057229e-01    9.937148e-01   4.942771e-01    -7.324697e-02   5.952381e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    1.385762e-01    -1.385762e-01   0    1.282937e-01   1.282937e-01    -2.633848e-01   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    7.527448e-02    -7.527448e-02   0    6.421898e-02   6.421898e-02    -1.682665e-01   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    4.996675e-01    5.003325e-01   5.119940e-01    5.496630e-01   4.880060e-01    6.067907e-01   8.914286e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    4.088905e-02    -4.088905e-02   0    3.214560e-02   3.214560e-02    -4.567029e-01   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    7.390214e-01    2.609786e-01   5.025838e-01    9.968539e-01   4.974162e-01    -3.908739e-01   7.978142e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    2.221090e-02    -2.221090e-02   0    1.609088e-02   1.609088e-02    -2.792555e-01   1.063218e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    7.282197e-01    2.717803e-01   7.248594e-01    2.751406e-01   2.751406e-01    -2.394330e-01   6.648352e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    9.198603e-01    8.013969e-02   5.245221e-01    8.497751e-01   4.754779e-01    -6.431702e-02   2.322581e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    9.564682e-01    4.353183e-02   5.746346e-01    4.253654e-01   4.253654e-01    -2.380727e-01   4.566929e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    9.564682e-01    4.353183e-02   6.997750e-01    3.002250e-01   3.002250e-01    6.538112e-02   5.536723e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    9.763535e-01    2.364646e-02   8.497187e-01    1.502813e-01   1.502813e-01    -3.455676e-01   2.872928e-01   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    9.871553e-01    1.284474e-02   9.247748e-01    7.522518e-02   7.522518e-02    -2.308465e-01   NaN   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    9.763535e-01    2.364646e-02   7.870781e-01    2.129219e-01   2.129219e-01    -1.956132e-01   1   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    8.582366e-01    1.417634e-01   5.010125e-01    8.808771e-01   4.989875e-01    -6.152011e-01   0   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    1.206495e-02    -1.206495e-02   0    8.054488e-03   8.054488e-03    1.531025e-01   6.470588e-02   8.314743e-01   6.262381e-02
01   4.568007e-01    4.994376e-01    6.553671e-03    9.934463e-01   0    9.999752e-01   4.031774e-03    6.454928e-01   7.821229e-02   8.314743e-01   6.262381e-02
